Country name	2011	2012	2013	2014			
Qatar	1,905,437	2,015,624	2,101,288	2,172,065			
Romania	20,147,528	20,058,035	19,983,693	19,910,995			
Russian Federation	142,960,868	143,201,676	143,506,911	143,819,569			
Rwanda	10,556,429	10,817,350	11,078,095	11,341,544			
Samoa	187,434	188,901	190,390	191,845			
San Marino	30,938	31,172	31,391	31,595			
Sao Tome and Principe	174,646	178,484	182,386	186,342			
Saudi Arabia	28,788,438	29,496,047	30,201,051	30,886,545			
Senegal	13,357,003	13,780,108	14,221,041	14,672,557			
Serbia	7,234,099	7,199,077	7,164,132	7,129,428			
Seychelles	87,441	88,303	89,900	91,526			
Sierra Leone	5,908,908	6,043,157	6,178,859	6,315,627			
Singapore	5,183,700	5,312,400	5,399,200	5,469,700			
Sint Maarten (Dutch part)	33,435	34,640	36,607	37,664			
Slovak Republic	5,398,384	5,407,579	5,413,393	5,418,506			
Slovenia	2,052,843	2,057,159	2,059,953	2,062,218			
Solomon Islands	537,648	549,162	560,685	572,171			
Somalia	9,806,670	10,033,630	10,268,157	10,517,569			
South Africa	51,553,479	52,341,695	53,157,490	54,001,953			
South Sudan	10,510,122	10,980,623	11,453,810	11,911,184			
Spain	46,742,697	46,773,055	46,620,045	46,404,602			
Sri Lanka	20,869,000	20,328,000	20,483,000	20,639,000			
St. Kitts and Nevis	52,998	53,650	54,301	54,944			
St. Lucia	179,278	180,890	182,305	183,645			
St. Martin (French part)	30,615	30,959	31,264	31,530			
St. Vincent and the Grenadines	109,341	109,334	109,327	109,360			
Sudan	36,918,193	37,712,420	38,515,095	39,350,274			
Suriname	523,439	528,535	533,450	538,248			
Swaziland	1,212,458	1,231,694	1,250,641	1,269,112			
Sweden	9,449,213	9,519,374	9,600,379	9,689,555			
Switzerland	7,912,398	7,996,861	8,089,346	8,190,229			
Syrian Arab Republic	21,070,917	21,427,155	21,789,415	22,157,800			
Tajikistan	7,753,925	7,930,929	8,111,894	8,295,840			
Tanzania	47,122,998	48,645,709	50,213,457	51,822,621			
Thailand	66,902,958	67,164,130	67,451,422	67,725,979			
Timor-Leste	1,120,392	1,148,958	1,180,069	1,212,107			
Togo	6,566,179	6,745,581	6,928,719	7,115,163			
Tonga	104,392	104,769	105,139	105,586			
Trinidad and Tobago	1,334,790	1,341,579	1,348,240	1,354,483			
Tunisia	10,673,800	10,777,500	10,886,500	10,996,600			
Turkey	73,199,372	74,099,255	75,010,202	75,932,348			
Turkmenistan	5,106,672	5,172,941	5,240,088	5,307,188			
Turks and Caicos Islands	31,727	32,430	33,103	33,740			
Tuvalu	9,844	9,860	9,876	9,893			
Uganda	34,260,342	35,400,620	36,573,387	37,782,971			
Ukraine	45,706,100	45,593,300	45,489,600	45,362,900			
United Arab Emirates	8,734,722	8,952,542	9,039,978	9,086,139			
United Kingdom	63,258,918	63,700,300	64,106,779	64,510,376			
United States	311,721,632	314,112,078	316,497,531	318,857,056			
Uruguay	3,385,610	3,396,753	3,407,969	3,419,516			
Uzbekistan	29,339,400	29,774,500	30,243,200	30,757,700			
Vanuatu	241,876	247,498	253,165	258,883			
Venezuela, RB	29,427,631	29,854,238	30,276,045	30,693,827			
Vietnam	87,840,000	88,772,900	89,708,900	90,730,000			
Virgin Islands (U.S.)	105,784	105,275	104,737	104,170			
West Bank and Gaza	3,927,051	4,046,901	4,169,506	4,294,682			
Yemen, Rep.	24,234,940	24,882,792	25,533,217	26,183,676			
Zambia	14,343,526	14,786,581	15,246,086	15,721,343			
Zimbabwe	14,255,592	14,565,482	14,898,092	15,245,855			
Agriculture & Rural Development	Health	
Aid Effectiveness	Infrastructure	
Climate Change	Poverty	
Economy & Growth	Private Sector	
Education	Public Sector	
Energy & Mining	Science & Technology	
Environment	Social Development	
External Debt	Social Protection & Labor	
Financial Sector	Trade	
Gender	Urban Development	
